fmp_area,species_name,species_group_code,Scenario,tot_score,rev_ranks,final_ranks,top_stocks
BSAI,Pacific sleeper shark,USRK,wt_1,2.7758033303190213,32,4,Yes
BSAI,Pacific sleeper shark,USRK,wt_2,2.6287126025122842,33,3,Yes
BSAI,Pacific sleeper shark,USRK,wt_3,2.854392749885388,33,3,Yes
BSAI,Pacific sleeper shark,USRK,wt_4,2.4279381137887563,34,2,Yes
BSAI,Pacific sleeper shark,USRK,wt_5,2.2808473859820193,29,7,Yes
BSAI,Pacific sleeper shark,USRK,wt_equal,4.360145794516982,32,4,Yes
BSAI,"octopus, North Pacific",OCTP,wt_1,2.8785714285714286,33,3,Yes
BSAI,"octopus, North Pacific",OCTP,wt_2,2.421831602144462,30,6,Yes
BSAI,"octopus, North Pacific",OCTP,wt_3,2.596983013428601,30,6,Yes
BSAI,"octopus, North Pacific",OCTP,wt_4,2.3253529266420845,33,3,Yes
BSAI,"octopus, North Pacific",OCTP,wt_5,1.8686131002151178,25,11,No
BSAI,"octopus, North Pacific",OCTP,wt_equal,4.165697420854053,31,5,Yes
BSAI,"shark, salmon",USRK,wt_1,2.385985040063598,30,6,Yes
BSAI,"shark, salmon",USRK,wt_2,2.5833897431895756,32,4,Yes
BSAI,"shark, salmon",USRK,wt_3,2.8239303475798474,32,4,Yes
BSAI,"shark, salmon",USRK,wt_4,2.2252279960168586,31,5,Yes
BSAI,"shark, salmon",USRK,wt_5,2.422632699142836,30,6,Yes
BSAI,"shark, salmon",USRK,wt_equal,4.428941903940238,33,3,Yes
BSAI,"shark, spiny dogfish",USRK,wt_1,1.7710514990725283,27,9,Yes
BSAI,"shark, spiny dogfish",USRK,wt_2,1.9737162652964453,27,9,Yes
BSAI,"shark, spiny dogfish",USRK,wt_3,2.2068342321501873,27,9,Yes
BSAI,"shark, spiny dogfish",USRK,wt_4,1.6055018490382287,25,11,No
BSAI,"shark, spiny dogfish",USRK,wt_5,1.3081666152621456,16,20,No
BSAI,"shark, spiny dogfish",USRK,wt_equal,3.1299043980078576,27,9,Yes
GOA,Pacific sleeper shark,USRK,wt_1,3.3463293819521676,35,1,Yes
GOA,Pacific sleeper shark,USRK,wt_2,3.496628604429882,35,1,Yes
GOA,Pacific sleeper shark,USRK,wt_3,3.744488741372694,35,1,Yes
GOA,Pacific sleeper shark,USRK,wt_4,2.669339130133837,35,1,Yes
GOA,Pacific sleeper shark,USRK,wt_5,3.319638352611551,35,1,Yes
GOA,Pacific sleeper shark,USRK,wt_equal,5.184697756631012,35,1,Yes
GOA,"greenling, atka mackerel",AMCK,wt_1,2.032142857142857,28,8,Yes
GOA,"greenling, atka mackerel",AMCK,wt_2,1.6128569397604773,21,15,No
GOA,"greenling, atka mackerel",AMCK,wt_3,1.6451966151595903,21,15,No
GOA,"greenling, atka mackerel",AMCK,wt_4,1.8548395738507804,28,8,Yes
GOA,"greenling, atka mackerel",AMCK,wt_5,1.9355536564684004,27,9,Yes
GOA,"greenling, atka mackerel",AMCK,wt_equal,2.8229297239745494,25,11,No
GOA,"octopus, North Pacific",OCTP,wt_1,2.8785714285714286,34,2,Yes
GOA,"octopus, North Pacific",OCTP,wt_2,2.477913848595575,31,5,Yes
GOA,"octopus, North Pacific",OCTP,wt_3,2.5986767182106525,31,5,Yes
GOA,"octopus, North Pacific",OCTP,wt_4,2.299005508198579,32,4,Yes
GOA,"octopus, North Pacific",OCTP,wt_5,1.8983479282227258,26,10,Yes
GOA,"octopus, North Pacific",OCTP,wt_equal,4.060307747080031,30,6,Yes
GOA,"rockfish, aurora",ROCK,wt_1,0.7036142039129651,12,24,No
GOA,"rockfish, aurora",ROCK,wt_2,0.7530756202421969,7,29,No
GOA,"rockfish, aurora",ROCK,wt_3,0.7530756202421969,5,31,No
GOA,"rockfish, aurora",ROCK,wt_4,0.728344912077581,5,31,No
GOA,"rockfish, aurora",ROCK,wt_5,0.7778063284068127,5,31,No
GOA,"rockfish, aurora",ROCK,wt_equal,0.8025798119129651,5,31,No
GOA,"rockfish, blackgill",ROCK,wt_1,0.7036297807346907,13,23,No
GOA,"rockfish, blackgill",ROCK,wt_2,0.7578201007673454,8,28,No
GOA,"rockfish, blackgill",ROCK,wt_3,0.7578201007673454,6,30,No
GOA,"rockfish, blackgill",ROCK,wt_4,0.7307249407510181,6,30,No
GOA,"rockfish, blackgill",ROCK,wt_5,0.7849152607836727,6,30,No
GOA,"rockfish, blackgill",ROCK,wt_equal,0.8120687729632622,6,30,No
GOA,"rockfish, bocaccio",ROCK,wt_1,0.6964735859545166,11,25,No
GOA,"rockfish, bocaccio",ROCK,wt_2,0.8723535485063588,13,23,No
GOA,"rockfish, bocaccio",ROCK,wt_3,0.8723535485063588,9,27,No
